admin_code;not_null;ipc_1;ipc_2;ipc_3;ipc_4;ipc_5;ipc_2_plus;ipc_3_plus;ipc_4_plus;ipc_1_pct;ipc_2_pct;ipc_3_pct;ipc_4_pct;ipc_5_pct;ipc_2_plus_pct;ipc_3_plus_pct;ipc_4_plus_pct
435;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
436;28;21;5;2;;;7;2;0;0.75;0.178571429;0.071428571;0;0;0.25;0.071428571;0
437;28;19;8;1;;;9;1;0;0.678571429;0.285714286;0.035714286;0;0;0.321428571;0.035714286;0
438;28;;14;14;;;28;14;0;0;0.5;0.5;0;0;1;0.5;0
439;28;;17;11;;;28;11;0;0;0.607142857;0.392857143;0;0;1;0.392857143;0
440;28;14;12;2;;;14;2;0;0.5;0.428571429;0.071428571;0;0;0.5;0.071428571;0
441;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
442;28;17;9;2;;;11;2;0;0.607142857;0.321428571;0.071428571;0;0;0.392857143;0.071428571;0
443;28;5;14;9;;;23;9;0;0.178571429;0.5;0.321428571;0;0;0.821428571;0.321428571;0
444;28;1;8;19;;;27;19;0;0.035714286;0.285714286;0.678571429;0;0;0.964285714;0.678571429;0
445;28;15;12;1;;;13;1;0;0.535714286;0.428571429;0.035714286;0;0;0.464285714;0.035714286;0
446;28;3;18;7;;;25;7;0;0.107142857;0.642857143;0.25;0;0;0.892857143;0.25;0
447;28;1;8;19;;;27;19;0;0.035714286;0.285714286;0.678571429;0;0;0.964285714;0.678571429;0
448;28;11;15;2;;;17;2;0;0.392857143;0.535714286;0.071428571;0;0;0.607142857;0.071428571;0
449;28;18;8;2;;;10;2;0;0.642857143;0.285714286;0.071428571;0;0;0.357142857;0.071428571;0
450;28;21;5;2;;;7;2;0;0.75;0.178571429;0.071428571;0;0;0.25;0.071428571;0
451;28;;19;9;;;28;9;0;0;0.678571429;0.321428571;0;0;1;0.321428571;0
452;28;2;19;7;;;26;7;0;0.071428571;0.678571429;0.25;0;0;0.928571429;0.25;0
453;28;;16;12;;;28;12;0;0;0.571428571;0.428571429;0;0;1;0.428571429;0
454;28;17;9;2;;;11;2;0;0.607142857;0.321428571;0.071428571;0;0;0.392857143;0.071428571;0
455;28;20;6;2;;;8;2;0;0.714285714;0.214285714;0.071428571;0;0;0.285714286;0.071428571;0
456;28;14;12;2;;;14;2;0;0.5;0.428571429;0.071428571;0;0;0.5;0.071428571;0
457;28;3;18;7;;;25;7;0;0.107142857;0.642857143;0.25;0;0;0.892857143;0.25;0
458;28;2;18;8;;;26;8;0;0.071428571;0.642857143;0.285714286;0;0;0.928571429;0.285714286;0
459;28;21;5;1;1;;7;2;1;0.75;0.178571429;0.035714286;0.035714286;0;0.25;0.071428571;0.035714286
460;28;20;6;2;;;8;2;0;0.714285714;0.214285714;0.071428571;0;0;0.285714286;0.071428571;0
461;28;16;10;2;;;12;2;0;0.571428571;0.357142857;0.071428571;0;0;0.428571429;0.071428571;0
462;28;1;13;14;;;27;14;0;0.035714286;0.464285714;0.5;0;0;0.964285714;0.5;0
